jsd,freq_clusters_1,freq_clusters_2,parameters
0.3758572342933052,"{2: 0, 0: 6, 1: 5}","{2: 2, 0: 10, 1: 2}","{'word': 'überspannen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 22},{0: 19},"{'word': 'Manschette', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.7584272995866317,"{0: 9, 2: 0, 5: 0, 3: 0, 6: 0, 4: 0, 1: 12}","{0: 8, 2: 5, 5: 1, 3: 3, 6: 1, 4: 1, 1: 0}","{'word': 'Fuß', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.39307390891881766,"{0: 19, 1: 0, 3: 0, 2: 2}","{0: 19, 1: 4, 3: 1, 2: 0}","{'word': 'Rezeption', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 24},{0: 24},"{'word': 'abgebrüht', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 13},{0: 18},"{'word': 'Dynamik', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 21},{0: 24},"{'word': 'Engpaß', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.15956958650912217,"{0: 20, 1: 0}","{0: 19, 1: 1}","{'word': 'abbauen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 19},{0: 17},"{'word': 'Mißklang', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 22},{0: 9},"{'word': 'Abgesang', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 2},{0: 21},"{'word': 'Knotenpunkt', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 23},{0: 23},"{'word': 'Spielball', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.2318490096397192,"{0: 3, 1: 1}","{0: 16, 1: 1}","{'word': 'zersetzen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 25},{0: 22},"{'word': 'Armenhaus', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 16},{0: 19},"{'word': 'Ohrwurm', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 17},{0: 19},"{'word': 'Eintagsfliege', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 10},{0: 20},"{'word': 'Seminar', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 10},{0: 23},"{'word': 'Sensation', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 18},{0: 8},"{'word': 'Titel', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.264772698262054,"{0: 10, 1: 0}","{0: 13, 1: 2}","{'word': 'Schmiere', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.23570226039551584,"{0: 17, 1: 0, 2: 1}","{0: 17, 1: 1, 2: 0}","{'word': 'ausspannen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
