jsd_silhouette,jsd_calinski,jsd_eigengap,freq_clusters_1_silhouette,freq_clusters_2_silhouette,freq_clusters_1_calinski,freq_clusters_2_calinski,freq_clusters_1_eigengap,freq_clusters_2_eigengap,parameters
0.3837109401782917,0.3837109401782917,0.3758572342933052,"{1: 0, 0: 5, 2: 2, 4: 1, 3: 3}","{1: 2, 0: 9, 2: 1, 4: 1, 3: 1}","{1: 0, 0: 5, 2: 2, 4: 1, 3: 3}","{1: 2, 0: 9, 2: 1, 4: 1, 3: 1}","{1: 0, 0: 6, 2: 5}","{1: 2, 0: 10, 2: 2}","{'word': 'überspannen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.23396980263771833,0.33796002126708957,0.23396980263771833,"{0: 22, 1: 0}","{0: 17, 1: 2}","{0: 22, 2: 0, 1: 0, 3: 0}","{0: 15, 2: 1, 1: 2, 3: 1}","{0: 22, 1: 0}","{0: 17, 1: 2}","{'word': 'Manschette', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.1279638961826168,0.1279638961826168,0.0,"{0: 9, 1: 12}","{0: 11, 1: 8}","{0: 9, 1: 12}","{0: 11, 1: 8}",{0: 21},{0: 19},"{'word': 'Fuß', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.7046367870537737,0.7046367870537737,0.7046367870537737,"{3: 7, 2: 0, 0: 12, 1: 2}","{3: 20, 2: 4, 0: 0, 1: 0}","{3: 7, 2: 0, 0: 12, 1: 2}","{3: 20, 2: 4, 0: 0, 1: 0}","{3: 7, 2: 0, 0: 12, 1: 2}","{3: 20, 2: 4, 0: 0, 1: 0}","{'word': 'Rezeption', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8166380632616623,0.8166380632616623,0.8166380632616623,"{1: 1, 0: 23}","{1: 22, 0: 2}","{1: 1, 0: 23}","{1: 22, 0: 2}","{1: 1, 0: 23}","{1: 22, 0: 2}","{'word': 'abgebrüht', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5946642729055968,0.5946642729055968,0.5946642729055968,"{0: 4, 1: 9}","{0: 17, 1: 1}","{0: 4, 1: 9}","{0: 17, 1: 1}","{0: 4, 1: 9}","{0: 17, 1: 1}","{'word': 'Dynamik', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8302961801327811,0.8302961801327811,0.8302961801327811,"{1: 3, 0: 18}","{1: 24, 0: 0}","{1: 3, 0: 18}","{1: 24, 0: 0}","{1: 3, 0: 18}","{1: 24, 0: 0}","{'word': 'Engpaß', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.924660694787462,0.924660694787462,0.9649496424404297,"{0: 0, 1: 20}","{0: 19, 1: 1}","{0: 0, 1: 20}","{0: 19, 1: 1}","{0: 0, 1: 2, 2: 18}","{0: 19, 1: 1, 2: 0}","{'word': 'abbauen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.2895421595678569,0.2895421595678569,0.0,"{0: 16, 1: 3}","{0: 17, 1: 0}","{0: 16, 1: 3}","{0: 17, 1: 0}",{0: 19},{0: 17},"{'word': 'Mißklang', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5183304704428527,0.5183304704428527,0.0,"{0: 22, 1: 0}","{0: 5, 1: 4}","{0: 22, 1: 0}","{0: 5, 1: 4}",{0: 22},{0: 9},"{'word': 'Abgesang', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.36223903194248497,0.10196368817099191,0.0,"{0: 1, 1: 0, 2: 1}","{0: 12, 1: 4, 2: 5}","{1: 1, 0: 1}","{1: 13, 0: 8}",{0: 2},{0: 21},"{'word': 'Knotenpunkt', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.14861909764463607,0.14861909764463607,0.0,"{0: 23, 1: 0}","{0: 22, 1: 1}","{0: 23, 1: 0}","{0: 22, 1: 1}",{0: 23},{0: 23},"{'word': 'Spielball', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.2318490096397192,0.265836705123705,0.2318490096397192,"{0: 3, 1: 1}","{0: 16, 1: 1}","{0: 2, 2: 1, 1: 1}","{0: 13, 2: 3, 1: 1}","{0: 3, 1: 1}","{0: 16, 1: 1}","{'word': 'zersetzen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8152710542573384,0.8152710542573384,0.8152710542573384,"{0: 2, 1: 23}","{0: 21, 1: 1}","{0: 2, 1: 23}","{0: 21, 1: 1}","{0: 2, 1: 23}","{0: 21, 1: 1}","{'word': 'Armenhaus', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
1.0,1.0,1.0,"{1: 0, 0: 16}","{1: 19, 0: 0}","{1: 0, 0: 16}","{1: 19, 0: 0}","{1: 0, 0: 16}","{1: 19, 0: 0}","{'word': 'Ohrwurm', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5401592648454959,0.5401592648454959,0.5401592648454959,"{0: 3, 1: 14}","{0: 15, 1: 4}","{0: 3, 1: 14}","{0: 15, 1: 4}","{0: 3, 1: 14}","{0: 15, 1: 4}","{'word': 'Eintagsfliege', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.702440464210416,0.702440464210416,0.702440464210416,"{0: 3, 1: 7}","{0: 20, 1: 0}","{0: 3, 1: 7}","{0: 20, 1: 0}","{0: 3, 1: 7}","{0: 20, 1: 0}","{'word': 'Seminar', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5579230452841438,0.5579230452841438,0.5579230452841438,"{0: 5, 1: 5}","{0: 23, 1: 0}","{0: 5, 1: 5}","{0: 23, 1: 0}","{0: 5, 1: 5}","{0: 23, 1: 0}","{'word': 'Sensation', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5824830044961058,0.5824830044961058,0.5824830044961058,"{1: 4, 0: 14}","{1: 7, 0: 1}","{1: 4, 0: 14}","{1: 7, 0: 1}","{1: 4, 0: 14}","{1: 7, 0: 1}","{'word': 'Titel', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.708079501233195,0.6851985660986467,0.6851985660986467,"{3: 1, 2: 0, 1: 1, 0: 8}","{3: 10, 2: 2, 1: 2, 0: 1}","{2: 2, 1: 0, 0: 8}","{2: 12, 1: 2, 0: 1}","{2: 2, 1: 0, 0: 8}","{2: 12, 1: 2, 0: 1}","{'word': 'Schmiere', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5973835859231214,0.5973835859231214,0.6350026601827372,"{0: 18, 1: 0}","{0: 8, 1: 10}","{0: 18, 1: 0}","{0: 8, 1: 10}","{1: 16, 0: 0, 2: 0, 3: 2}","{1: 5, 0: 8, 2: 2, 3: 3}","{'word': 'ausspannen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5018136546699449,0.5018136546699449,0.5018136546699449,"{2: 13, 0: 7, 1: 0}","{2: 4, 0: 3, 1: 5}","{2: 13, 0: 7, 1: 0}","{2: 4, 0: 3, 1: 5}","{2: 13, 0: 7, 1: 0}","{2: 4, 0: 3, 1: 5}","{'word': 'packen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.41285710496046085,0.41285710496046085,0.41285710496046085,"{1: 4, 0: 6}","{1: 18, 0: 3}","{1: 4, 0: 6}","{1: 18, 0: 3}","{1: 4, 0: 6}","{1: 18, 0: 3}","{'word': 'artikulieren', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8799327917609389,0.8799327917609389,0.9999999999999999,"{0: 0, 1: 8}","{0: 10, 1: 1}","{0: 0, 1: 8}","{0: 10, 1: 1}","{1: 0, 0: 0, 2: 8}","{1: 10, 0: 1, 2: 0}","{'word': 'abdecken', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.3300810113650712,0.3300810113650712,0.34524261785732285,"{1: 0, 0: 7, 2: 4}","{1: 2, 0: 10, 2: 2}","{1: 0, 0: 7, 2: 4}","{1: 2, 0: 10, 2: 2}","{1: 0, 0: 7, 3: 3, 2: 1}","{1: 2, 0: 10, 3: 1, 2: 1}","{'word': 'überspannen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.23396980263771833,0.423529626480726,0.23396980263771833,"{0: 22, 1: 0}","{0: 17, 1: 2}","{1: 22, 3: 0, 2: 0, 0: 0}","{1: 13, 3: 3, 2: 2, 0: 1}","{0: 22, 1: 0}","{0: 17, 1: 2}","{'word': 'Manschette', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5483509695484271,0.7101872646178606,0.0,"{0: 7, 3: 0, 2: 2, 4: 12, 1: 0}","{0: 6, 3: 5, 2: 2, 4: 3, 1: 3}","{0: 9, 2: 0, 1: 0, 3: 12}","{0: 11, 2: 5, 1: 3, 3: 0}",{0: 21},{0: 19},"{'word': 'Fuß', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8747206546397029,0.8436319694569563,0.3360412400455753,"{4: 1, 2: 0, 3: 2, 0: 15, 1: 3}","{4: 16, 2: 5, 3: 3, 0: 0, 1: 0}","{2: 3, 1: 0, 0: 18}","{2: 19, 1: 5, 0: 0}","{0: 21, 1: 0}","{0: 19, 1: 5}","{'word': 'Rezeption', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8166380632616623,0.8166380632616623,0.8166380632616623,"{1: 1, 0: 23}","{1: 22, 0: 2}","{1: 1, 0: 23}","{1: 22, 0: 2}","{1: 1, 0: 23}","{1: 22, 0: 2}","{'word': 'abgebrüht', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.6582502526470956,0.6582502526470956,0.6582502526470956,"{0: 3, 1: 10}","{0: 17, 1: 1}","{0: 3, 1: 10}","{0: 17, 1: 1}","{0: 3, 1: 10}","{0: 17, 1: 1}","{'word': 'Dynamik', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
